hour,dayOfWeek,sessions
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,1
10,1,3
11,1,0
12,1,2
13,1,1
14,1,1
15,1,4
16,1,5
17,1,0
18,1,0
19,1,0
20,1,0
21,1,1
22,1,0
23,1,1
0,2,1
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,1
10,2,1
11,2,1
12,2,1
13,2,1
14,2,1
15,2,1
16,2,3
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,1
0,3,2
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,3
11,3,1
12,3,1
13,3,1
14,3,0
15,3,3
16,3,2
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,1
23,3,1
0,4,0
1,4,1
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,3
10,4,2
11,4,0
12,4,1
13,4,2
14,4,0
15,4,2
16,4,1
17,4,1
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
23,4,1
0,5,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,5,0
9,5,1
10,5,0
11,5,0
12,5,0
13,5,1
14,5,3
15,5,1
16,5,0
17,5,0
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
0,6,0
1,6,0
2,6,0
3,6,0
4,6,0
5,6,0
6,6,0
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,0
